valor_original,propuesta_canonica,grupo_id,apariciones,confianza,DUDOSO
ÔMA - Tom Williams,ÔMA - Tom Williams,213,11,MEDIA,
FONTODI,FONTODI,214,11,MEDIA,
VIÑA REAL,VIÑA REAL,215,11,MEDIA,
GUIMARO,GUIMARO,216,11,MEDIA,
Domaine Grand,Domaine Grand,217,11,MEDIA,
ÀN NEGRA,ÀN NEGRA,218,11,MEDIA,
VALDESIL,VALDESIL,219,11,MEDIA,
Julius Höfflin,Julius Höfflin,220,11,MEDIA,
Escala Humana,Escala Humana,221,11,MEDIA,
Roberto Voerzio,Roberto Voerzio,222,11,MEDIA,
CURATOLO,CURATOLO,223,11,MEDIA,
Philippe Bouzereau,Philippe Bouzereau,224,11,MEDIA,
CHAMPAGNE MAISONS & DOMAINES HENRIOT,CHAMPAGNE MAISONS & DOMAINES HENRIOT,225,11,MEDIA,
AALTO,AALTO,226,8,ALTA,
Aalto,AALTO,226,3,ALTA,
Envínate,Envínate,227,10,MEDIA,
Raúl Moreno Yague,Raúl Moreno Yague,228,10,MEDIA,
SEI SOLO,SEI SOLO,229,10,MEDIA,
Bendito Destino Ribera del Duero,Bendito Destino Ribera del Duero,230,10,MEDIA,
VIÑEDOS S. CANTABRIA,VIÑEDOS S. CANTABRIA,231,10,MEDIA,
D. BERTHELEMOT,D. BERTHELEMOT,232,10,MEDIA,
DOMINIO DE ANZA,DOMINIO DE ANZA,233,10,MEDIA,
HOSPICES DE BEAUNE,HOSPICES DE BEAUNE,234,10,MEDIA,
MIQUEL GELABERT,MIQUEL GELABERT,235,10,MEDIA,
Jane Eyre,Jane Eyre,236,10,MEDIA,
Villota,Villota,237,10,MEDIA,
TELMO RODRÍGUEZ - PEGASO,TELMO RODRÍGUEZ - PEGASO,238,10,MEDIA,
JM Sélèque Champagne,JM Sélèque Champagne,239,10,MEDIA,
COTO DE GOMARIZ,COTO DE GOMARIZ,240,10,MEDIA,
JAUME MESTRES,JAUME MESTRES,241,10,MEDIA,
Champagne Chavost,Champagne Chavost,242,10,MEDIA,
CLOS MOGADOR,CLOS MOGADOR,243,10,MEDIA,
LAUS,LAUS,244,10,MEDIA,
Giulia Negri,Giulia Negri,245,10,MEDIA,
LICORES DE FRUTA de Borgoña,LICORES DE FRUTA de Borgoña,246,10,MEDIA,
P.SPERINO,P.SPERINO,247,10,MEDIA,
RINGS,RINGS,248,10,MEDIA,
C.ROMITORIO,C.ROMITORIO,249,9,ALTA,
C. ROMITORIO,C.ROMITORIO,249,1,ALTA,
SOTTIMANO,SOTTIMANO,250,7,ALTA,
AZIENDA AGRICOLA SOTTIMANO,SOTTIMANO,250,3,ALTA,
Valderíz,Valderíz,251,9,BAJA,
Alex González y Matías Michelini,Alex González y Matías Michelini,252,9,BAJA,
Stratum Wines,Stratum Wines,253,9,BAJA,
Palacio de Villachica,Palacio de Villachica,254,9,BAJA,
Juan Carlos Sancha,Juan Carlos Sancha,255,9,BAJA,
VSJ,VSJ,256,9,BAJA,
LARMANDIER VERNIER,LARMANDIER VERNIER,257,9,BAJA,
BILA-HAUT,BILA-HAUT,258,9,BAJA,
DOSIO,DOSIO,259,9,BAJA,
VAL DO GALIR,VAL DO GALIR,260,9,BAJA,
DARTIGALONGUE,DARTIGALONGUE,261,9,BAJA,
BADMAN WINES,BADMAN WINES,262,9,BAJA,
D. LEFLAIVE,D. LEFLAIVE,263,9,BAJA,
VIÑA SASTRE,VIÑA SASTRE,264,9,BAJA,
GONZALEZ BYAS,GONZALEZ BYAS,265,9,BAJA,
Delgado Zuleta,Delgado Zuleta,266,9,BAJA,
SALVAJES DE GREDOS,SALVAJES DE GREDOS,267,9,BAJA,
CASTRO VENTOSA,CASTRO VENTOSA,268,9,BAJA,
TENTENUBLO,TENTENUBLO,269,9,BAJA,
C. DEL PINO,C. DEL PINO,270,9,BAJA,
DOÑA FELISA,DOÑA FELISA,271,9,BAJA,
FENTO WINES,FENTO WINES,272,9,BAJA,
Kei Shiogai,Kei Shiogai,273,9,BAJA,
Domaine Antoine Petitprez,Domaine Antoine Petitprez,274,9,BAJA,
AGUSTI TORELLO,AGUSTI TORELLO,275,9,BAJA,
LUIS SEABRA,LUIS SEABRA,276,9,BAJA,
JAUME GIRO I GIRO,JAUME GIRO I GIRO,277,9,BAJA,
RODRIGO MÉNDEZ,RODRIGO MÉNDEZ,278,9,BAJA,
Loïc Pasquet - Liber Pater,Loïc Pasquet - Liber Pater,279,9,BAJA,
Vigne Marina Coppi - Piemonte Colli Tortonesi,Vigne Marina Coppi - Piemonte Colli Tortonesi,280,9,BAJA,
LES DOMAINES BARONS DE ROTHSCHILD,LES DOMAINES BARONS DE ROTHSCHILD,281,9,BAJA,
FRATTASI,FRATTASI,282,9,BAJA,
MONTI,MONTI,283,9,BAJA,
CHAMPAGNE COUTIER,CHAMPAGNE COUTIER,284,9,BAJA,
JOSEP GRAU,JOSEP GRAU,285,9,BAJA,
ÀNIMA NEGRA,ÀNIMA NEGRA,286,9,BAJA,
PÉTRUS,PÉTRUS,287,8,ALTA,
Petrus,PÉTRUS,287,1,ALTA,
Michelini i Mufatto,Michelini i Mufatto,288,8,BAJA,
La Inglesa,La Inglesa,289,8,BAJA,
Tomás Postigo,Tomás Postigo,290,8,BAJA,
POSTIGO VERGEL,POSTIGO VERGEL,291,8,BAJA,
Vajra,Vajra,292,8,BAJA,
Pablo Soldavini Ribeira Sacra,Pablo Soldavini Ribeira Sacra,293,8,BAJA,
Philippe Thénevon,Philippe Thénevon,294,8,BAJA,
Mouzon-Leroux Champagne,Mouzon-Leroux Champagne,295,8,BAJA,
Charles Joguet Chinon,Charles Joguet Chinon,296,8,BAJA,
BENANTI,BENANTI,297,8,BAJA,
SERAFINO,SERAFINO,298,8,BAJA,
DE SOUSA,DE SOUSA,299,8,BAJA,
VIÑEDOS DE PAGANOS,VIÑEDOS DE PAGANOS,300,8,BAJA,
D. SCHLUMBERGER,D. SCHLUMBERGER,301,8,BAJA,
TRAVAGLINI,TRAVAGLINI,302,8,BAJA,
FINCA VILLACRECES,FINCA VILLACRECES,303,8,BAJA,
BODEGAS ANTÍDOTO,BODEGAS ANTÍDOTO,304,8,BAJA,
R,R,305,8,BAJA,TRUE
Bodegas Tintoralba,Bodegas Tintoralba,306,8,BAJA,
PIERRE PRIEUR,PIERRE PRIEUR,307,8,BAJA,
RÉGNARD,RÉGNARD,308,8,BAJA,
CHAMPAGNE ASSAILLY,CHAMPAGNE ASSAILLY,309,8,BAJA,
FILLABOA,FILLABOA,310,8,BAJA,
EULOGIO POMARES,EULOGIO POMARES,311,8,BAJA,
Passionate Wines,Passionate Wines,312,8,BAJA,
Massolino,Massolino,313,8,BAJA,
